employment,code,degrees,number,year
"Total, all occupations",00-0000,less hs,8.7,2014
"Total, all occupations",00-0000,high school,24.2,2014
"Total, all occupations",00-0000,"some college, no degree",21.3,2014
"Total, all occupations",00-0000,associate,9.4,2014
"Total, all occupations",00-0000,bachelor,22.5,2014
"Total, all occupations",00-0000,master,9.7,2014
"Total, all occupations",00-0000,doctor/professional,4.2,2014
Chief executives(1),11-1011,less hs,1.6,2014
Chief executives(1),11-1011,high school,9.1,2014
Chief executives(1),11-1011,"some college, no degree",15.4,2014
Chief executives(1),11-1011,associate,5.4,2014
Chief executives(1),11-1011,bachelor,39.7,2014
Chief executives(1),11-1011,master,21.5,2014
Chief executives(1),11-1011,doctor/professional,7.4,2014
General and operations managers,11-1021,less hs,2.3,2014
General and operations managers,11-1021,high school,17.1,2014
General and operations managers,11-1021,"some college, no degree",25.9,2014
General and operations managers,11-1021,associate,9.8,2014
General and operations managers,11-1021,bachelor,32.5,2014
General and operations managers,11-1021,master,10.9,2014
General and operations managers,11-1021,doctor/professional,1.5,2014
Legislators(1),11-1031,less hs,1.6,2014
Legislators(1),11-1031,high school,9.1,2014
Legislators(1),11-1031,"some college, no degree",15.4,2014
Legislators(1),11-1031,associate,5.4,2014
Legislators(1),11-1031,bachelor,39.7,2014
Legislators(1),11-1031,master,21.5,2014
Legislators(1),11-1031,doctor/professional,7.4,2014
Advertising and promotions managers,40848,less hs,0.6,2014
Advertising and promotions managers,40848,high school,4.4,2014
Advertising and promotions managers,40848,"some college, no degree",12.4,2014
Advertising and promotions managers,40848,associate,4.2,2014
Advertising and promotions managers,40848,bachelor,64.2,2014
Advertising and promotions managers,40848,master,12.1,2014
Advertising and promotions managers,40848,doctor/professional,2,2014
Marketing managers(1),44501,less hs,0.9,2014
Marketing managers(1),44501,high school,7.8,2014
Marketing managers(1),44501,"some college, no degree",15.3,2014
Marketing managers(1),44501,associate,6.6,2014
Marketing managers(1),44501,bachelor,50.8,2014
Marketing managers(1),44501,master,16.9,2014
Marketing managers(1),44501,doctor/professional,1.7,2014
Sales managers(1),44866,less hs,0.9,2014
Sales managers(1),44866,high school,7.8,2014
Sales managers(1),44866,"some college, no degree",15.3,2014
Sales managers(1),44866,associate,6.6,2014
Sales managers(1),44866,bachelor,50.8,2014
Sales managers(1),44866,master,16.9,2014
Sales managers(1),44866,doctor/professional,1.7,2014
Public relations and fundraising managers,48153,less hs,0.5,2014
Public relations and fundraising managers,48153,high school,2,2014
Public relations and fundraising managers,48153,"some college, no degree",9.2,2014
Public relations and fundraising managers,48153,associate,2.9,2014
Public relations and fundraising managers,48153,bachelor,58.6,2014
Public relations and fundraising managers,48153,master,23.8,2014
Public relations and fundraising managers,48153,doctor/professional,2.9,2014
Administrative services managers,406090,less hs,2,2014
Administrative services managers,406090,high school,19.1,2014
Administrative services managers,406090,"some college, no degree",27.5,2014
Administrative services managers,406090,associate,10.7,2014
Administrative services managers,406090,bachelor,29.3,2014
Administrative services managers,406090,master,10.1,2014
Administrative services managers,406090,doctor/professional,1.4,2014
Computer and information systems managers,409743,less hs,0.4,2014
Computer and information systems managers,409743,high school,4.3,2014
Computer and information systems managers,409743,"some college, no degree",14.4,2014
Computer and information systems managers,409743,associate,8.1,2014
Computer and information systems managers,409743,bachelor,45.6,2014
Computer and information systems managers,409743,master,24.5,2014
Computer and information systems managers,409743,doctor/professional,2.6,2014
Financial managers,413395,less hs,1.1,2014
Financial managers,413395,high school,10,2014
Financial managers,413395,"some college, no degree",18.4,2014
Financial managers,413395,associate,7.8,2014
Financial managers,413395,bachelor,40.5,2014
Financial managers,413395,master,19.7,2014
Financial managers,413395,doctor/professional,2.6,2014
Industrial production managers,420700,less hs,4.2,2014
Industrial production managers,420700,high school,20.3,2014
Industrial production managers,420700,"some college, no degree",21.7,2014
Industrial production managers,420700,associate,7.6,2014
Industrial production managers,420700,bachelor,32.4,2014
Industrial production managers,420700,master,12.7,2014
Industrial production managers,420700,doctor/professional,1.1,2014
Purchasing managers,424353,less hs,0.8,2014
Purchasing managers,424353,high school,10.5,2014
Purchasing managers,424353,"some college, no degree",19.4,2014
Purchasing managers,424353,associate,7.9,2014
Purchasing managers,424353,bachelor,39.9,2014
Purchasing managers,424353,master,19.2,2014
Purchasing managers,424353,doctor/professional,2.4,2014
"Transportation, storage, and distribution managers",428005,less hs,4.9,2014
"Transportation, storage, and distribution managers",428005,high school,29.7,2014
"Transportation, storage, and distribution managers",428005,"some college, no degree",29.2,2014
"Transportation, storage, and distribution managers",428005,associate,7.2,2014
"Transportation, storage, and distribution managers",428005,bachelor,22,2014
"Transportation, storage, and distribution managers",428005,master,6.5,2014
"Transportation, storage, and distribution managers",428005,doctor/professional,0.4,2014
Compensation and benefits managers,442614,less hs,0.1,2014
Compensation and benefits managers,442614,high school,6.4,2014
Compensation and benefits managers,442614,"some college, no degree",16.1,2014
Compensation and benefits managers,442614,associate,8,2014
Compensation and benefits managers,442614,bachelor,42.8,2014
Compensation and benefits managers,442614,master,24.6,2014
Compensation and benefits managers,442614,doctor/professional,1.9,2014
Human resources managers,446267,less hs,2.4,2014
Human resources managers,446267,high school,11.7,2014
Human resources managers,446267,"some college, no degree",18,2014
Human resources managers,446267,associate,8.6,2014
Human resources managers,446267,bachelor,37.1,2014
Human resources managers,446267,master,19.5,2014
Human resources managers,446267,doctor/professional,2.7,2014
Training and development managers,449919,less hs,0.8,2014
Training and development managers,449919,high school,7.9,2014
Training and development managers,449919,"some college, no degree",16.5,2014
Training and development managers,449919,associate,7.8,2014
Training and development managers,449919,bachelor,40.2,2014
Training and development managers,449919,master,22,2014
Training and development managers,449919,doctor/professional,4.8,2014
"Farmers, ranchers, and other agricultural managers",2598276,less hs,10.5,2014
"Farmers, ranchers, and other agricultural managers",2598276,high school,36.8,2014
"Farmers, ranchers, and other agricultural managers",2598276,"some college, no degree",20.4,2014
"Farmers, ranchers, and other agricultural managers",2598276,associate,9.2,2014
"Farmers, ranchers, and other agricultural managers",2598276,bachelor,19.2,2014
"Farmers, ranchers, and other agricultural managers",2598276,master,2.9,2014
"Farmers, ranchers, and other agricultural managers",2598276,doctor/professional,1,2014
Construction managers,2601198,less hs,6.4,2014
Construction managers,2601198,high school,25.9,2014
Construction managers,2601198,"some college, no degree",25.3,2014
Construction managers,2601198,associate,8.3,2014
Construction managers,2601198,bachelor,27.4,2014
Construction managers,2601198,master,5.9,2014
Construction managers,2601198,doctor/professional,0.9,2014
"Education administrators, preschool and childcare center/program(1)",2604850,less hs,0.9,2014
"Education administrators, preschool and childcare center/program(1)",2604850,high school,5.1,2014
"Education administrators, preschool and childcare center/program(1)",2604850,"some college, no degree",7.9,2014
"Education administrators, preschool and childcare center/program(1)",2604850,associate,4.6,2014
"Education administrators, preschool and childcare center/program(1)",2604850,bachelor,23.5,2014
"Education administrators, preschool and childcare center/program(1)",2604850,master,43.9,2014
"Education administrators, preschool and childcare center/program(1)",2604850,doctor/professional,14.1,2014
"Education administrators, elementary and secondary school(1)",2605216,less hs,0.9,2014
"Education administrators, elementary and secondary school(1)",2605216,high school,5.1,2014
"Education administrators, elementary and secondary school(1)",2605216,"some college, no degree",7.9,2014
"Education administrators, elementary and secondary school(1)",2605216,associate,4.6,2014
"Education administrators, elementary and secondary school(1)",2605216,bachelor,23.5,2014
"Education administrators, elementary and secondary school(1)",2605216,master,43.9,2014
"Education administrators, elementary and secondary school(1)",2605216,doctor/professional,14.1,2014
"Education administrators, postsecondary(1)",2605581,less hs,0.9,2014
"Education administrators, postsecondary(1)",2605581,high school,5.1,2014
"Education administrators, postsecondary(1)",2605581,"some college, no degree",7.9,2014
"Education administrators, postsecondary(1)",2605581,associate,4.6,2014
"Education administrators, postsecondary(1)",2605581,bachelor,23.5,2014
"Education administrators, postsecondary(1)",2605581,master,43.9,2014
"Education administrators, postsecondary(1)",2605581,doctor/professional,14.1,2014
"Education administrators, all other(1)",2607772,less hs,0.9,2014
"Education administrators, all other(1)",2607772,high school,5.1,2014
"Education administrators, all other(1)",2607772,"some college, no degree",7.9,2014
"Education administrators, all other(1)",2607772,associate,4.6,2014
"Education administrators, all other(1)",2607772,bachelor,23.5,2014
"Education administrators, all other(1)",2607772,master,43.9,2014
"Education administrators, all other(1)",2607772,doctor/professional,14.1,2014
Architectural and engineering managers,2608503,less hs,0.7,2014
Architectural and engineering managers,2608503,high school,3.6,2014
Architectural and engineering managers,2608503,"some college, no degree",6.8,2014
Architectural and engineering managers,2608503,associate,4.5,2014
Architectural and engineering managers,2608503,bachelor,46.3,2014
Architectural and engineering managers,2608503,master,32.3,2014
Architectural and engineering managers,2608503,doctor/professional,5.8,2014
Food service managers,2612155,less hs,8.8,2014
Food service managers,2612155,high school,28.6,2014
Food service managers,2612155,"some college, no degree",27.9,2014
Food service managers,2612155,associate,9.5,2014
Food service managers,2612155,bachelor,21.2,2014
Food service managers,2612155,master,3.4,2014
Food service managers,2612155,doctor/professional,0.6,2014
Funeral service managers(1),2615808,less hs,2.8,2014
Funeral service managers(1),2615808,high school,14.2,2014
Funeral service managers(1),2615808,"some college, no degree",18.9,2014
Funeral service managers(1),2615808,associate,7.5,2014
Funeral service managers(1),2615808,bachelor,35.6,2014
Funeral service managers(1),2615808,master,17.5,2014
Funeral service managers(1),2615808,doctor/professional,3.6,2014
Gaming managers,2619460,less hs,3.6,2014
Gaming managers,2619460,high school,24.4,2014
Gaming managers,2619460,"some college, no degree",32.7,2014
Gaming managers,2619460,associate,11.5,2014
Gaming managers,2619460,bachelor,21.5,2014
Gaming managers,2619460,master,5.3,2014
Gaming managers,2619460,doctor/professional,0.9,2014
Lodging managers,2623113,less hs,3,2014
Lodging managers,2623113,high school,18.9,2014
Lodging managers,2623113,"some college, no degree",25.1,2014
Lodging managers,2623113,associate,10.1,2014
Lodging managers,2623113,bachelor,32.6,2014
Lodging managers,2623113,master,8.9,2014
Lodging managers,2623113,doctor/professional,1.3,2014
Medical and health services managers,2634069,less hs,1.2,2014
Medical and health services managers,2634069,high school,8.3,2014
Medical and health services managers,2634069,"some college, no degree",15.6,2014
Medical and health services managers,2634069,associate,11.3,2014
Medical and health services managers,2634069,bachelor,32.2,2014
Medical and health services managers,2634069,master,23.4,2014
Medical and health services managers,2634069,doctor/professional,8.1,2014
Natural sciences managers,2637722,less hs,0.8,2014
Natural sciences managers,2637722,high school,1.6,2014
Natural sciences managers,2637722,"some college, no degree",3.1,2014
Natural sciences managers,2637722,associate,2.9,2014
Natural sciences managers,2637722,bachelor,36.9,2014
Natural sciences managers,2637722,master,31.7,2014
Natural sciences managers,2637722,doctor/professional,22.9,2014
Postmasters and mail superintendents(1),2641374,less hs,2.8,2014
Postmasters and mail superintendents(1),2641374,high school,14.2,2014
Postmasters and mail superintendents(1),2641374,"some college, no degree",18.9,2014
Postmasters and mail superintendents(1),2641374,associate,7.5,2014
Postmasters and mail superintendents(1),2641374,bachelor,35.6,2014
Postmasters and mail superintendents(1),2641374,master,17.5,2014
Postmasters and mail superintendents(1),2641374,doctor/professional,3.6,2014
"Property, real estate, and community association managers",2645027,less hs,4.2,2014
"Property, real estate, and community association managers",2645027,high school,19,2014
"Property, real estate, and community association managers",2645027,"some college, no degree",25.6,2014
"Property, real estate, and community association managers",2645027,associate,9.3,2014
"Property, real estate, and community association managers",2645027,bachelor,30.5,2014
"Property, real estate, and community association managers",2645027,master,9,2014
"Property, real estate, and community association managers",2645027,doctor/professional,2.4,2014
Social and community service managers,2648679,less hs,0.9,2014
Social and community service managers,2648679,high school,7.8,2014
Social and community service managers,2648679,"some college, no degree",14.9,2014
Social and community service managers,2648679,associate,5.8,2014
Social and community service managers,2648679,bachelor,37.7,2014
Social and community service managers,2648679,master,27.7,2014
Social and community service managers,2648679,doctor/professional,5.4,2014
Emergency management directors,2652332,less hs,0,2014
Emergency management directors,2652332,high school,3.6,2014
Emergency management directors,2652332,"some college, no degree",20.7,2014
Emergency management directors,2652332,associate,13.5,2014
Emergency management directors,2652332,bachelor,40.7,2014
Emergency management directors,2652332,master,20.4,2014
Emergency management directors,2652332,doctor/professional,1.1,2014
"Managers, all other(1)",2666211,less hs,2.8,2014
"Managers, all other(1)",2666211,high school,14.2,2014
"Managers, all other(1)",2666211,"some college, no degree",18.9,2014
"Managers, all other(1)",2666211,associate,7.5,2014
"Managers, all other(1)",2666211,bachelor,35.6,2014
"Managers, all other(1)",2666211,master,17.5,2014
"Managers, all other(1)",2666211,doctor/professional,3.6,2014
"Agents and business managers of artists, performers, and athletes",13-1011,less hs,2.5,2014
"Agents and business managers of artists, performers, and athletes",13-1011,high school,12.5,2014
"Agents and business managers of artists, performers, and athletes",13-1011,"some college, no degree",20,2014
"Agents and business managers of artists, performers, and athletes",13-1011,associate,7,2014
"Agents and business managers of artists, performers, and athletes",13-1011,bachelor,43.7,2014
"Agents and business managers of artists, performers, and athletes",13-1011,master,10.7,2014
"Agents and business managers of artists, performers, and athletes",13-1011,doctor/professional,3.6,2014
"Buyers and purchasing agents, farm products",13-1021,less hs,12.4,2014
"Buyers and purchasing agents, farm products",13-1021,high school,30,2014
"Buyers and purchasing agents, farm products",13-1021,"some college, no degree",18.2,2014
"Buyers and purchasing agents, farm products",13-1021,associate,8.9,2014
"Buyers and purchasing agents, farm products",13-1021,bachelor,23.6,2014
"Buyers and purchasing agents, farm products",13-1021,master,4.4,2014
"Buyers and purchasing agents, farm products",13-1021,doctor/professional,2.5,2014
"Wholesale and retail buyers, except farm products",13-1022,less hs,4.8,2014
"Wholesale and retail buyers, except farm products",13-1022,high school,23.1,2014
"Wholesale and retail buyers, except farm products",13-1022,"some college, no degree",26,2014
"Wholesale and retail buyers, except farm products",13-1022,associate,9,2014
"Wholesale and retail buyers, except farm products",13-1022,bachelor,32.1,2014
"Wholesale and retail buyers, except farm products",13-1022,master,4.7,2014
"Wholesale and retail buyers, except farm products",13-1022,doctor/professional,0.3,2014
"Purchasing agents, except wholesale, retail, and farm products",13-1023,less hs,1.8,2014
"Purchasing agents, except wholesale, retail, and farm products",13-1023,high school,17,2014
"Purchasing agents, except wholesale, retail, and farm products",13-1023,"some college, no degree",25.3,2014
"Purchasing agents, except wholesale, retail, and farm products",13-1023,associate,10.9,2014
"Purchasing agents, except wholesale, retail, and farm products",13-1023,bachelor,35,2014
"Purchasing agents, except wholesale, retail, and farm products",13-1023,master,8.8,2014
"Purchasing agents, except wholesale, retail, and farm products",13-1023,doctor/professional,1.3,2014
"Claims adjusters, examiners, and investigators(1)",13-1031,less hs,1,2014
"Claims adjusters, examiners, and investigators(1)",13-1031,high school,15.7,2014
"Claims adjusters, examiners, and investigators(1)",13-1031,"some college, no degree",25,2014
"Claims adjusters, examiners, and investigators(1)",13-1031,associate,9.7,2014
"Claims adjusters, examiners, and investigators(1)",13-1031,bachelor,39.3,2014
"Claims adjusters, examiners, and investigators(1)",13-1031,master,7.6,2014
"Claims adjusters, examiners, and investigators(1)",13-1031,doctor/professional,1.7,2014
"Insurance appraisers, auto damage(1)",13-1032,less hs,1,2014
"Insurance appraisers, auto damage(1)",13-1032,high school,15.7,2014
"Insurance appraisers, auto damage(1)",13-1032,"some college, no degree",25,2014
"Insurance appraisers, auto damage(1)",13-1032,associate,9.7,2014
"Insurance appraisers, auto damage(1)",13-1032,bachelor,39.3,2014
"Insurance appraisers, auto damage(1)",13-1032,master,7.6,2014
"Insurance appraisers, auto damage(1)",13-1032,doctor/professional,1.7,2014
Compliance officers,13-1041,less hs,1.1,2014
Compliance officers,13-1041,high school,8.2,2014
Compliance officers,13-1041,"some college, no degree",19.1,2014
Compliance officers,13-1041,associate,8.1,2014
Compliance officers,13-1041,bachelor,38.6,2014
Compliance officers,13-1041,master,17.8,2014
Compliance officers,13-1041,doctor/professional,7.1,2014
Cost estimators,13-1051,less hs,2.4,2014
Cost estimators,13-1051,high school,22.2,2014
Cost estimators,13-1051,"some college, no degree",29.8,2014
Cost estimators,13-1051,associate,11.5,2014
Cost estimators,13-1051,bachelor,28.9,2014
Cost estimators,13-1051,master,4.5,2014
Cost estimators,13-1051,doctor/professional,0.6,2014
Human resources specialists(1),13-1071,less hs,1.5,2014
Human resources specialists(1),13-1071,high school,10.4,2014
Human resources specialists(1),13-1071,"some college, no degree",18.8,2014
Human resources specialists(1),13-1071,associate,8.1,2014
Human resources specialists(1),13-1071,bachelor,43.2,2014
Human resources specialists(1),13-1071,master,15.9,2014
Human resources specialists(1),13-1071,doctor/professional,2.2,2014
Farm labor contractors(1),13-1074,less hs,1.5,2014
Farm labor contractors(1),13-1074,high school,10.4,2014
Farm labor contractors(1),13-1074,"some college, no degree",18.8,2014
Farm labor contractors(1),13-1074,associate,8.1,2014
Farm labor contractors(1),13-1074,bachelor,43.2,2014
Farm labor contractors(1),13-1074,master,15.9,2014
Farm labor contractors(1),13-1074,doctor/professional,2.2,2014
Labor relations specialists(1),13-1075,less hs,1.5,2014
Labor relations specialists(1),13-1075,high school,10.4,2014
Labor relations specialists(1),13-1075,"some college, no degree",18.8,2014
Labor relations specialists(1),13-1075,associate,8.1,2014
Labor relations specialists(1),13-1075,bachelor,43.2,2014
Labor relations specialists(1),13-1075,master,15.9,2014
Labor relations specialists(1),13-1075,doctor/professional,2.2,2014
Logisticians,13-1081,less hs,1.3,2014
Logisticians,13-1081,high school,14.5,2014
Logisticians,13-1081,"some college, no degree",27.7,2014
Logisticians,13-1081,associate,12.7,2014
Logisticians,13-1081,bachelor,34.2,2014
Logisticians,13-1081,master,8.7,2014
Logisticians,13-1081,doctor/professional,0.8,2014
Management analysts,13-1111,less hs,0.7,2014
Management analysts,13-1111,high school,4.9,2014
Management analysts,13-1111,"some college, no degree",12.1,2014
Management analysts,13-1111,associate,5.2,2014
Management analysts,13-1111,bachelor,42.1,2014
Management analysts,13-1111,master,28.4,2014
Management analysts,13-1111,doctor/professional,6.7,2014
"Meeting, convention, and event planners",13-1121,less hs,1.2,2014
"Meeting, convention, and event planners",13-1121,high school,9.9,2014
"Meeting, convention, and event planners",13-1121,"some college, no degree",19.7,2014
"Meeting, convention, and event planners",13-1121,associate,7.6,2014
"Meeting, convention, and event planners",13-1121,bachelor,50.2,2014
"Meeting, convention, and event planners",13-1121,master,10.8,2014
"Meeting, convention, and event planners",13-1121,doctor/professional,0.6,2014
Fundraisers,13-1131,less hs,0.5,2014
Fundraisers,13-1131,high school,3.1,2014
Fundraisers,13-1131,"some college, no degree",8.1,2014
Fundraisers,13-1131,associate,3.5,2014
Fundraisers,13-1131,bachelor,53.8,2014
Fundraisers,13-1131,master,26.5,2014
Fundraisers,13-1131,doctor/professional,4.5,2014
"Compensation, benefits, and job analysis specialists",13-1141,less hs,0.4,2014
"Compensation, benefits, and job analysis specialists",13-1141,high school,12.8,2014
"Compensation, benefits, and job analysis specialists",13-1141,"some college, no degree",21.7,2014
"Compensation, benefits, and job analysis specialists",13-1141,associate,10.3,2014
"Compensation, benefits, and job analysis specialists",13-1141,bachelor,41.7,2014
"Compensation, benefits, and job analysis specialists",13-1141,master,11.5,2014
"Compensation, benefits, and job analysis specialists",13-1141,doctor/professional,1.6,2014
Training and development specialists,13-1151,less hs,1.7,2014
Training and development specialists,13-1151,high school,10.6,2014
Training and development specialists,13-1151,"some college, no degree",22.6,2014
Training and development specialists,13-1151,associate,10.3,2014
Training and development specialists,13-1151,bachelor,35.2,2014
Training and development specialists,13-1151,master,17.6,2014
Training and development specialists,13-1151,doctor/professional,1.9,2014
Market research analysts and marketing specialists,13-1161,less hs,0.9,2014
Market research analysts and marketing specialists,13-1161,high school,4.2,2014
Market research analysts and marketing specialists,13-1161,"some college, no degree",10,2014
Market research analysts and marketing specialists,13-1161,associate,4.5,2014
Market research analysts and marketing specialists,13-1161,bachelor,54.1,2014
Market research analysts and marketing specialists,13-1161,master,23.4,2014
Market research analysts and marketing specialists,13-1161,doctor/professional,2.9,2014
"Business operations specialists, all other",13-1199,less hs,1.6,2014
"Business operations specialists, all other",13-1199,high school,9.7,2014
"Business operations specialists, all other",13-1199,"some college, no degree",16.8,2014
"Business operations specialists, all other",13-1199,associate,8.1,2014
"Business operations specialists, all other",13-1199,bachelor,39.5,2014
"Business operations specialists, all other",13-1199,master,20,2014
"Business operations specialists, all other",13-1199,doctor/professional,4.3,2014
Accountants and auditors,13-2011,less hs,0,2014
Accountants and auditors,13-2011,high school,4.3,2014
Accountants and auditors,13-2011,"some college, no degree",8.1,2014
Accountants and auditors,13-2011,associate,9.1,2014
Accountants and auditors,13-2011,bachelor,55.6,2014
Accountants and auditors,13-2011,master,20.1,2014
Accountants and auditors,13-2011,doctor/professional,2.8,2014
Appraisers and assessors of real estate,13-2021,less hs,0.7,2014
Appraisers and assessors of real estate,13-2021,high school,10.6,2014
Appraisers and assessors of real estate,13-2021,"some college, no degree",25.6,2014
Appraisers and assessors of real estate,13-2021,associate,9.2,2014
Appraisers and assessors of real estate,13-2021,bachelor,41.8,2014
Appraisers and assessors of real estate,13-2021,master,9.9,2014
Appraisers and assessors of real estate,13-2021,doctor/professional,2.2,2014
Budget analysts,13-2031,less hs,0.6,2014
Budget analysts,13-2031,high school,6.8,2014
Budget analysts,13-2031,"some college, no degree",13.1,2014
Budget analysts,13-2031,associate,7.2,2014
Budget analysts,13-2031,bachelor,40.9,2014
Budget analysts,13-2031,master,27.7,2014
Budget analysts,13-2031,doctor/professional,3.6,2014
Credit analysts,13-2041,less hs,0.5,2014
Credit analysts,13-2041,high school,10,2014
Credit analysts,13-2041,"some college, no degree",17.4,2014
Credit analysts,13-2041,associate,7.6,2014
Credit analysts,13-2041,bachelor,44.8,2014
Credit analysts,13-2041,master,18.4,2014
Credit analysts,13-2041,doctor/professional,1.2,2014
Financial analysts,13-2051,less hs,0.3,2014
Financial analysts,13-2051,high school,2,2014
Financial analysts,13-2051,"some college, no degree",5.9,2014
Financial analysts,13-2051,associate,3.2,2014
Financial analysts,13-2051,bachelor,51.8,2014
Financial analysts,13-2051,master,33,2014
Financial analysts,13-2051,doctor/professional,3.8,2014
Personal financial advisors,13-2052,less hs,0.4,2014
Personal financial advisors,13-2052,high school,4,2014
Personal financial advisors,13-2052,"some college, no degree",10.6,2014
Personal financial advisors,13-2052,associate,4.8,2014
Personal financial advisors,13-2052,bachelor,53.4,2014
Personal financial advisors,13-2052,master,21,2014
Personal financial advisors,13-2052,doctor/professional,5.7,2014
Insurance underwriters,13-2053,less hs,0.6,2014
Insurance underwriters,13-2053,high school,13.9,2014
Insurance underwriters,13-2053,"some college, no degree",19.8,2014
Insurance underwriters,13-2053,associate,8.5,2014
Insurance underwriters,13-2053,bachelor,46.8,2014
Insurance underwriters,13-2053,master,8.4,2014
Insurance underwriters,13-2053,doctor/professional,2,2014
Financial examiners,13-2061,less hs,0,2014
Financial examiners,13-2061,high school,6.6,2014
Financial examiners,13-2061,"some college, no degree",4.9,2014
Financial examiners,13-2061,associate,6.5,2014
Financial examiners,13-2061,bachelor,56.2,2014
Financial examiners,13-2061,master,23.8,2014
Financial examiners,13-2061,doctor/professional,2.1,2014
Credit counselors(1),13-2071,less hs,1,2014
Credit counselors(1),13-2071,high school,13.8,2014
Credit counselors(1),13-2071,"some college, no degree",23.3,2014
Credit counselors(1),13-2071,associate,9.8,2014
Credit counselors(1),13-2071,bachelor,41,2014
Credit counselors(1),13-2071,master,9.8,2014
Credit counselors(1),13-2071,doctor/professional,1.3,2014
Loan officers(1),13-2072,less hs,1,2014
Loan officers(1),13-2072,high school,13.8,2014
Loan officers(1),13-2072,"some college, no degree",23.3,2014
Loan officers(1),13-2072,associate,9.8,2014
Loan officers(1),13-2072,bachelor,41,2014
Loan officers(1),13-2072,master,9.8,2014
Loan officers(1),13-2072,doctor/professional,1.3,2014
"Tax examiners and collectors, and revenue agents",13-2081,less hs,1.4,2014
"Tax examiners and collectors, and revenue agents",13-2081,high school,16.2,2014
"Tax examiners and collectors, and revenue agents",13-2081,"some college, no degree",24.2,2014
"Tax examiners and collectors, and revenue agents",13-2081,associate,8.7,2014
"Tax examiners and collectors, and revenue agents",13-2081,bachelor,37.1,2014
"Tax examiners and collectors, and revenue agents",13-2081,master,11.2,2014
"Tax examiners and collectors, and revenue agents",13-2081,doctor/professional,1.2,2014
Tax preparers,13-2082,less hs,1.7,2014
Tax preparers,13-2082,high school,12.5,2014
Tax preparers,13-2082,"some college, no degree",24.4,2014
Tax preparers,13-2082,associate,9,2014
Tax preparers,13-2082,bachelor,32.9,2014
Tax preparers,13-2082,master,14.2,2014
Tax preparers,13-2082,doctor/professional,5.4,2014
"Financial specialists, all other",13-2099,less hs,1.1,2014
"Financial specialists, all other",13-2099,high school,11.2,2014
"Financial specialists, all other",13-2099,"some college, no degree",16.5,2014
"Financial specialists, all other",13-2099,associate,7.7,2014
"Financial specialists, all other",13-2099,bachelor,41.4,2014
"Financial specialists, all other",13-2099,master,19.6,2014
"Financial specialists, all other",13-2099,doctor/professional,2.6,2014
Computer and information research scientists,15-1111,less hs,0.2,2014
Computer and information research scientists,15-1111,high school,1.3,2014
Computer and information research scientists,15-1111,"some college, no degree",2.1,2014
Computer and information research scientists,15-1111,associate,0.4,2014
Computer and information research scientists,15-1111,bachelor,43.6,2014
Computer and information research scientists,15-1111,master,32.2,2014
Computer and information research scientists,15-1111,doctor/professional,20.2,2014
Computer systems analysts,15-1121,less hs,0.5,2014
Computer systems analysts,15-1121,high school,4.6,2014
Computer systems analysts,15-1121,"some college, no degree",13.6,2014
Computer systems analysts,15-1121,associate,8,2014
Computer systems analysts,15-1121,bachelor,47.2,2014
Computer systems analysts,15-1121,master,23.4,2014
Computer systems analysts,15-1121,doctor/professional,2.8,2014
Information security analysts,15-1122,less hs,0.8,2014
Information security analysts,15-1122,high school,5.3,2014
Information security analysts,15-1122,"some college, no degree",15.9,2014
Information security analysts,15-1122,associate,9.3,2014
Information security analysts,15-1122,bachelor,46.8,2014
Information security analysts,15-1122,master,20.2,2014
Information security analysts,15-1122,doctor/professional,1.7,2014
Computer programmers,15-1131,less hs,0.5,2014
Computer programmers,15-1131,high school,4.2,2014
Computer programmers,15-1131,"some college, no degree",13.7,2014
Computer programmers,15-1131,associate,8.4,2014
Computer programmers,15-1131,bachelor,51.2,2014
Computer programmers,15-1131,master,19.5,2014
Computer programmers,15-1131,doctor/professional,2.4,2014
"Software developers, applications(1)",15-1132,less hs,0.3,2014
"Software developers, applications(1)",15-1132,high school,2.2,2014
"Software developers, applications(1)",15-1132,"some college, no degree",8.5,2014
"Software developers, applications(1)",15-1132,associate,5.1,2014
"Software developers, applications(1)",15-1132,bachelor,49.2,2014
"Software developers, applications(1)",15-1132,master,30.5,2014
"Software developers, applications(1)",15-1132,doctor/professional,4.1,2014
"Software developers, systems software(1)",15-1133,less hs,0.3,2014
"Software developers, systems software(1)",15-1133,high school,2.2,2014
"Software developers, systems software(1)",15-1133,"some college, no degree",8.5,2014
"Software developers, systems software(1)",15-1133,associate,5.1,2014
"Software developers, systems software(1)",15-1133,bachelor,49.2,2014
"Software developers, systems software(1)",15-1133,master,30.5,2014
"Software developers, systems software(1)",15-1133,doctor/professional,4.1,2014
Web developers,15-1134,less hs,0.6,2014
Web developers,15-1134,high school,5.1,2014
Web developers,15-1134,"some college, no degree",15.8,2014
Web developers,15-1134,associate,9.8,2014
Web developers,15-1134,bachelor,53.6,2014
Web developers,15-1134,master,13.7,2014
Web developers,15-1134,doctor/professional,1.4,2014
Database administrators,15-1141,less hs,0.5,2014
Database administrators,15-1141,high school,5.9,2014
Database administrators,15-1141,"some college, no degree",13.2,2014
Database administrators,15-1141,associate,8.2,2014
Database administrators,15-1141,bachelor,45.7,2014
Database administrators,15-1141,master,23.6,2014
Database administrators,15-1141,doctor/professional,2.8,2014
Network and computer systems administrators,15-1142,less hs,0.5,2014
Network and computer systems administrators,15-1142,high school,6.6,2014
